Category,Lender,Min APR,Max APR,Max Loan Term (Months),Min. Credit Score,Time To Fund (Days),Min Loan Amount ($),Max Loan Amount ($),Origination Fee (%),BBB Rating,States of Operation,Min Down Payment %
Personal,Achieve,8.99,35.99,60,620,1,5000,50000,1.99,A+,N/A,N/A
Personal,Affirm,8.99,36,60,580,0,1000,50000,1.99,A+,N/A,N/A
Personal,Afterpay,8.99,35.99,12,730,2,1000,50000,0,A+,N/A,N/A
Personal,Alliant Credit Union,8.99,35.99,60,750,0,1000,100000,0,A+,N/A,N/A
Personal,American Express,6.9,19.97,60,800,1,3500,40000,0,A,N/A,N/A
Personal,Avant,9.95,35.99,60,580,1,2000,35000,0,A+,N/A,N/A
Personal,Axos Bank,11.79,20.84,72,730,1,7000,50000,1,A+,N/A,N/A
Personal,Bank of America Balance,5.99,29.76,3,730,1,500,100000,1.99,A+,N/A,N/A
Personal,Assist,7.99,20.84,48,750,2,5000,40000,0,A+,N/A,N/A
Personal,Barclays,7.99,29.76,60,800,1,2000,50000,0.99,A+,N/A,N/A
Personal,Best Egg,7.99,35.99,60,640,1,2000,50000,0.99,A+,N/A,N/A
Personal,BHG,11.96,25.31,120,660,5,20000,200000,0,A+,N/A,N/A
Personal,Discover,7.99,24.99,84,660,1,2500,40000,0,A+,N/A,N/A
Personal,Fig,6.99,20.84,6,600,1,100,1000,0,A+,N/A,N/A
Personal,First Tech Federal Credit Union,8.49,29.76,84,0,0,500,50000,0,A+,N/A,N/A
Personal,Happy Money,8.95,17.48,60,640,0,5000,40000,0,NR,N/A,N/A
Personal,Kikoff,7.99,35.99,60,0,2,0,750,0,B-,N/A,N/A
Personal,Klarna,8.91,29.99,24,650,2,0,750,0,A+,N/A,N/A
Personal,LendingClub,8.91,35.99,60,640,0,1000,40000,3,A+,N/A,N/A
Personal,LendingPoint,7.99,35.99,72,0,1,2000,36500,0,A+,N/A,N/A
Personal,Lending Tree,6.99,20.84,100,650,1,1000,50000,3,A+,N/A,N/A
Personal,LendingUSA,7.99,35.99,120,620,1,1000,25000,0,A+,N/A,N/A
Personal,LightStream,6.94,25.29,84,680,0,5000,100000,0,A,N/A,N/A
Personal,Mariner Personal Loans,6.99,29.5,60,640,2,1000,25000,3,A+,N/A,N/A
Personal,MoneyKey,2.9,29.5,12,0,1,200,2500,3,B,N/A,N/A
Personal,Moneylion,6.99,35.99,36,650,2,5000,100000,3,C-,N/A,N/A
Personal,NetCredit,34.99,99.99,60,700,1,1000,40000,3,B,N/A,N/A
Personal,OneMain Financial,18,35.99,60,0,1,1500,20000,1,A-,N/A,N/A
Personal,Oportun,8.99,35.99,46,0,0,300,10000,3,A+,N/A,N/A
Personal,OppLoans,160,195,18,0,0,500,4000,0,A+,N/A,N/A
Personal,PenFed Credit Union,8.99,17.99,60,680,1,600,50000,0,A+,N/A,N/A
Personal,PNC Bank,7.89,24.74,60,640,2,1000,35000,0,A+,N/A,N/A
Personal,Prosper,8.99,35.99,60,0,1,2000,50000,1,A,N/A,N/A
Personal,Rise,6,29.9,36,650,1,500,5000,0,A+,N/A,N/A
Personal,Rocket Loans,9.12,29.99,60,640,0,2000,45000,0,A+,N/A,N/A
Personal,SoFi®,8.99,29.99,84,680,0,5000,100000,0,A+,N/A,N/A
Personal,Splash Financial,8.99,35.99,84,660,2,1000,100000,0,A+,N/A,N/A
Personal,TD Bank,8.99,23.99,60,700,1,2000,50000,0,D,N/A,N/A
Personal,U.S. Bank,8.74,24.99,84,660,0,1000,50000,0,B+,N/A,N/A
Personal,Universal Credit,11.69,35.99,60,580,1,1000,50000,5.25,A+,N/A,N/A
Personal,Upgrade,7.99,35.99,84,580,1,1000,50000,1.85,A+,N/A,N/A
Personal,Upgrade,7.99,35.99,84,580,1,1000,50000,1.85,A+,N/A,N/A
Personal,Upstart,7.4,35.99,60,300,1,1000,50000,0,A+,N/A,N/A
Personal,Wells Fargo,6.99,24.49,84,580,1,3000,100000,0,NR,N/A,N/A
Home,Achieve HELOC,N/A,N/A,N/A,640,N/A,Varies,Varies,N/A,NR,24,5
Home,AFI Financial,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,NR,4,5
Home,Alliant Credit Union,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,NR,50,0
Home,Ally Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,B,47,3
Home,AmeriSave,N/A,N/A,N/A,600,N/A,Varies,Varies,N/A,A+,50,3
Home,Armed Forces Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,50,3
Home,Axos Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,Bank of America,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A,51,3
Home,Better.com,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A-,51,3
Home,Bison State Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,NR,49,3
Home,Cardinal Financial,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,Carrington Mortgage Services,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,NR,51,3
Home,Central Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A,4,3
Home,Chase,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,NR,50,3
Home,CitiMortgage,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,NR,51,3
Home,Citizens,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,B+,51,3
Home,CMG Financial,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A,51,3
Home,CrossCountry Mortgage,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,Discover,N/A,N/A,N/A,680,N/A,Varies,Varies,N/A,A+,51,5
Home,Fairway Independent,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,Farmers Bank of Kansas City,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,50,3
Home,Fifth Third Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,42,3
Home,Figure,N/A,N/A,N/A,640,N/A,Varies,Varies,N/A,B-,43,5
Home,First Federal Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,First Horizon Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,Flagstar Bank,N/A,N/A,N/A,630,N/A,Varies,Varies,N/A,A+,51,5
Home,FourLeaf Federal Credit Union,N/A,N/A,N/A,660,N/A,Varies,Varies,N/A,A+,49,5
Home,Freedom Mortgage,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,NR,51,5
Home,Guild Mortgage,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,50,3
Home,Homefinity,N/A,N/A,N/A,680,N/A,Varies,Varies,N/A,A+,51,3
Home,Hometap,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,B+,16,5
Home,KeyBank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,15,0
Home,Lending Tree,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,5
Home,loanDepot,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,5
Home,Lower.com,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,42,5
Home,Magnolia Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,50,4
Home,McGlone,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,46,3
Home,Morty,N/A,N/A,N/A,580,N/A,Varies,Varies,N/A,A+,45,5
Home,Mr. Cooper,N/A,N/A,N/A,600,N/A,Varies,Varies,N/A,A+,51,3
Home,Mutual of Omaha,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,48,3
Home,Navy Federal Credit Union,N/A,N/A,N/A,650,N/A,Varies,Varies,N/A,NR,51,5
Home,NBKC Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,New American Funding,N/A,N/A,N/A,580,N/A,Varies,Varies,N/A,A,49,3
Home,North American Savings,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,Northpointe Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,0
Home,OneTrust Home Loans,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,39,5
Home,Paddio,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,47,3
Home,PenFed Credit Union,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,PennyMac,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,5
Home,PNC Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,PrimeLending,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,50,3
Home,Quicken,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,Rate,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,Real Genius,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,Regions,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A,15,0
Home,Rocket Mortgage,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,50,1
Home,Silverton Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,B-,50,3
Home,Simmons Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,50,5
Home,SoFi,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,49,3
Home,Spring EQ,N/A,N/A,N/A,640,N/A,Varies,Varies,N/A,A+,42,3
Home,TD Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,NR,15,3
Home,Truist Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,U.S. Bank Mortgage,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,B+,50,3
Home,USAA,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,Veterans United Home,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,Watermark,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,46,3
Home,Wells Fargo,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,West Capital Lending,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,44,3
Home,Zillow Home Loans,N/A,N/A,N/A,600,N/A,Varies,Varies,N/A,A+,46,3
Business,Accion,8.49,28.99,60,600,N/A,5000,250000,N/A,A+,N/A,N/A
Business,Biz2Credit,3.53,10,36,650,N/A,25000,1000000,N/A,NR,N/A,N/A
Business,Bluevine,3.66,7.8,24,625,N/A,45000,250000,N/A,A+,N/A,N/A
Business,CIT Bank,3.53,12.87,300,650,N/A,50000,13500000,N/A,A,N/A,N/A
Business,Fundbox,3.66,13.09,72,600,N/A,0,150000,N/A,A+,N/A,N/A
Business,Funding Circle,3.53,14.52,84,660,N/A,25000,500000,N/A,A+,N/A,N/A
Business,National Funding,3.66,13.25,96,630,N/A,25000,500000,N/A,A+,N/A,N/A
Business,OnDeck,3.53,28.99,24,625,N/A,5000,250000,N/A,A+,N/A,N/A
Business,Rapid Finance,3.66,10,60,625,N/A,5000,1000000,N/A,A+,N/A,N/A
Business,TD Bank,3.53,7.8,60,625,N/A,5000,1000000,N/A,A+,N/A,N/A
Student,Ascent Funding,4.99,14,180,600,N/A,2000,200000,N/A,A+,N/A,N/A
Student,Citizens,4.99,15.6,180,600,N/A,1000,200000,N/A,A+,N/A,N/A
Student,College Ave,4.44,17.99,180,650,N/A,1000,180000,N/A,A+,N/A,N/A
Student,Credible,4.13,17.99,240,600,N/A,1000,1000000,N/A,A+,N/A,N/A
Student,Discover,6.62,17.49,180,600,N/A,1000,1000000,N/A,A+,N/A,N/A
Student,Earnest,4.99,16.85,180,650,N/A,1000,200000,N/A,A,N/A,N/A
Student,Edly Student Loans,6.08,8.9,300,650,N/A,5000,200000,N/A,A+,N/A,N/A
Student,EDvestinU,8.13,11.029,180,750,N/A,1000,225000,N/A,B-,N/A,N/A
Student,ELFI,5,13.97,180,680,N/A,1000,225000,N/A,A+,N/A,N/A
Student,Federal Direct,4.99,7.54,180,680,N/A,0,12500,N/A,A+,N/A,N/A
Student,First Republic Bank,2.99,6.49,180,680,N/A,5000,125000,N/A,A+,N/A,N/A
Student,Laurel Road,4.99,8.9,240,680,N/A,0,1000000,N/A,NR,N/A,N/A
Student,LendKey,5.98,13.74,180,680,N/A,1000,200000,N/A,A+,N/A,N/A
Student,MEFA,5.35,7.95,180,680,N/A,1500,225000,N/A,B+,N/A,N/A
Student,MPower Financing,9.99,9.95,10,680,N/A,2000,225000,N/A,A+,N/A,N/A
Student,NaviRefi,5.83,9.74,180,680,N/A,1000,500000,N/A,A+,N/A,N/A
Student,Nelnet Bank,5.83,9.95,180,600,N/A,1000,500000,N/A,A+,N/A,N/A
Student,PenFed Student Loan,2.89,5.63,180,670,N/A,1000,500000,N/A,A+,N/A,N/A
Student,PNC,7.89,14.99,180,670,N/A,1000,50000,N/A,A+,N/A,N/A
Student,Prodigy Finance,11.18,8.49,240,670,N/A,15000,220000,N/A,A+,N/A,N/A
Student,Purefy,4.98,16.99,240,670,N/A,1000,220000,N/A,A+,N/A,N/A
Student,RISLA,5.79,8.49,180,670,N/A,1500,50000,N/A,NR,N/A,N/A
Student,Sallie Mae,4.54,14.71,180,650,N/A,1000,225000,N/A,A+,N/A,N/A
Student,SoFi®,4.64,15.99,240,640,N/A,5000,500000,N/A,A,N/A,N/A
Student,Sparrow Student Loans,4.71,15.97,240,0,N/A,1000,225000,N/A,A+,N/A,N/A
Student,Splash Financial,4.86,10.24,240,640,N/A,5000,500000,N/A,A+,N/A,N/A
Auto Loans,Autopay,4.4,21.09,96,600,N/A,2500,100000,N/A,A+,N/A,N/A
Auto Loans,Bank of America,4.23,13.35,72,650,N/A,5000,100000,N/A,A+,N/A,N/A
Auto Loans,Capital One,4.06,21.99,36,600,N/A,5500,100000,N/A,A+,N/A,N/A
Auto Loans,Caribou,5.48,28.55,24,600,N/A,3000,55000,N/A,A+,N/A,N/A
Auto Loans,Gravity Lending,4.99,16.99,84,650,N/A,3000,250000,N/A,A+,N/A,N/A
Auto Loans,LightStream,4.99,9.49,144,650,N/A,5000,100000,N/A,A+,N/A,N/A
Auto Loans,PNC Bank,5.64,21.09,84,750,N/A,5500,100000,N/A,A+,N/A,N/A
Auto Loans,RateGenius,4.67,13.35,72,680,N/A,10000,55000,N/A,A+,N/A,N/A
Auto Loans,RefiJet,5.29,21.99,96,680,N/A,150000,55000,N/A,A+,N/A,N/A
Auto Loans,U.S. Bank,6.71,15.36,72,680,N/A,5500,250000,N/A,A,N/A,N/A
Auto Loans,Upgrade,5.54,19.94,72,680,N/A,5000,100000,N/A,A+,N/A,N/A
Auto Loans,Upstart,5.54,19.94,84,680,N/A,3000,100000,N/A,B-,N/A,N/A
Auto Loans,USAA,4.54,13.9,84,680,N/A,5000,55000,N/A,A+,N/A,N/A
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,